id,nomb_ue,razon_soc,cod_scian,nom_activ,pers_ocup,tipo_vial,nomb_vial,tipo_evial,nom_evial,tip_evial2,nom_evial2,tip_evial3,nom_evial3,num_ext,letra_ext,edificio,edif_piso,num_int,letra_int,tipo_asent,nomb_asent,tipo_cc,c_ind_cc,num_local,cp,cve_ent,ent_fed,cve_mun,mun,cve_loc,loc,ageb,mza,tel,e_mail,web_site,tipo_estab,lat,lon,fecha_denu
7043397,DULCE MARIA MIEL NATURAL DE ABEJA,,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,HERNAN CORTES,CALLE,GUADALUPE VICTORIA,CALLE,MOCTEZUMA,CALLE,GUADALUPE VICTORIA,0,SN,,,0,,BARRIO,DE AFUERA,,,,20330,1,AGUASCALIENTES,10,El Llano,1,Palo Alto,143,26,4961420613,,,Fijo,21.91951675,-101.961233,2019-11
8434256,VENTA DE MIEL,,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,LICENCIADO ADOLFO LOPEZ MATEOS,AVENIDA,INSURGENTES,PRIVADA,JUAN ALDAMA,CALLE,FRANCISCO I. MADERO,106,,,,0,,COLONIA,LA FORTUNA,,,,20834,1,AGUASCALIENTES,3,Calvillo,55,Ojocaliente,172,7,,,,Fijo,21.87978354,-102.6709029,2019-11
22207,VENTA DE MIEL DE ABEJA BEE REAL,,311999,Elaboración de otros alimentos,0 a 5 personas,AVENIDA,GUADALUPE,CALLE,ANTONIO ARIAS BERNAL,CALLE,NICOLAS BRAVO,CALLE,ANTONIO ARIAS BERNAL,346,,,,,,BARRIO,DE GUADALUPE,,,,20059,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,572,4,,,,Fijo,21.88436958,-102.3032537,2010-07
6281713,HERMES HONEY SA DE CV,HERMES HONEY SA DE CV,431194,Comercio al por mayor de miel,51 a 100 personas,CARRETERA,CARRETERA FEDERAL LIBRE 70 AGUASCALIENTES SAN LUIS POTOSI KILOMETRO 20 000,OTRO (ESPECIFIQUE),SIN REFERENCIA,OTRO (ESPECIFIQUE),SIN REEFERENCIA,OTRO (ESPECIFIQUE),SIN REEFERENCIA,0,SN,,,0,,COLONIA,LA TINAJA,,,,20337,1,AGUASCALIENTES,10,El Llano,261,X-nox [Planta],92,800,,HERMESHONEY.GERENCIA@GMAIL.COM,WWW.HERMESHONEY.COM,Fijo,21.83117148,-102.1184305,2014-12
6905981,BOUTIQUE DE MIELES,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,ASIENTOS,CERRADA,NINGUNO,CALLE,JESUS MARIA,CALLE,BENJAMÍN MÉNDEZ,428,,,,,,COLONIA,SAN JOSE DEL ARENAL,,,,20130,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1509,1,,,,Fijo,21.90563039,-102.3056771,2019-11
8217261,MIEL DE ABEJA,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,LOMA EMPEDRADA,CALLE,LOMA SOLEADA,CALLE,JUAN JOSE ARREOLA,CALLE,LOMA DEL SOL,113,,,,,,FRACCIONAMIENTO,LOMAS DE ORIENTE,,,,20175,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,3878,27,4492098385,,,Fijo,21.91423814,-102.2556678,2019-11
40161,MIEL Y COLMENAS MARTISA,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,SAN VICENTE,CALLE,SAN CLEMENTE,CALLE,CARLOS SAGREDO,CALLE,SAN GABRIEL,122,,,,,,FRACCIONAMIENTO,SAN CAYETANO,,,,20010,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,286,26,,,,Fijo,21.90194826,-102.3105485,2014-12
6905103,VENTA DE MIEL,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,JOSE MARIA LOPEZ DE NAVA,CALLE,J. MARIA LOPEZ DE NAVA,CALLE,BENJAMIN DE LA MORA,CALLE,PRIMERA PRIVADA BENJAMÍN DE LA MORA,119,,,,0,,FRACCIONAMIENTO,RAMON ROMO FRANCO,,,,20010,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,322,1,,,,Fijo,21.89267604,-102.3140856,2019-11
8195224,VENTA DE MIEL,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,JUAN JOSE ARREOLA,CALLE,LUIS ESPOTA,CALLE,JUAN RULFO,CALLE,EFRAÍN HUERTA,,SN,,,,,FRACCIONAMIENTO,PENSADORES MEXICANOS,,,,20179,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,2780,33,4491087271,,,Fijo,21.91405543,-102.2594556,2019-11
8624929,VENTA DE MIEL,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,26 DE MARZO,CALLE,VERSALLES,CALLE,NAPOLES,AVENIDA,CONVENCIÓN DE 1914 PONIENTE,201,,,,,,FRACCIONAMIENTO,RESID. DEL VALLE 1A. SECC.,,,,20080,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,680,17,,MARIA.MONICA.QUEZADA.GIL@GMAIL.COM,,Fijo,21.87473726,-102.3129106,2019-11
7407459,VENTA DE MIEL DE ABEJA,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,MEXICO,CALLE,GENERAL ÁLVARO OBREGON,CALLE,NORTE,CALLE,5 DE FEBRERO,,SN,,,,,COLONIA,MEXIQUITO,,,,20460,1,AGUASCALIENTES,4,Cosío,1,Cosío,127,11,,,,Fijo,22.36717062,-102.3034866,2019-11
48309,VENTA DE MIEL DE ABEJA DE CHUY,,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,MANUEL ALTAMIRANO,CALLE,MARIANO ESCOBEDO,CALLE,GUILLERMO PRIETO,CALLE,IGNACIO RAMÍREZ,7,,,,,,COLONIA,5 DE MAYO,,,,20676,1,AGUASCALIENTES,6,Pabellón de Arteaga,1,Pabellón de Arteaga,009A,4,4651045867,,,Fijo,22.14421167,-102.2763827,2014-12
