"ID","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"195524","INVESTIGADORES Y TÉCNICOS EN APICULTURA DE CAMPECHE, A.C.","INVESTIGADORES Y TÉCNICOS EN APICULTURA DE CAMPECHE, A.C.","813110","Asociaciones, organizaciones y cámaras de productores, comerciantes y prestadores de servicios","0 a 5 personas","PRIVADA","DE LA 14","CALLE","14","CALLE","16","CALLE","16",,"SN",,,,,"COLONIA","MONTECRISTO",,,,"24040","04","CAMPECHE","002","Campeche","0001","San Francisco de Campeche","1285","018",,"UCOMCA_CAMP@HOTMAIL.COM",,"Fijo","19.83493091","-90.5495496","2010-07"
"483896","MATERIAL DE APICULTURA",,"435110","Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","0 a 5 personas","AVENIDA","SEGUNDA SUR ORIENTE","CALLE","SEXTA ORIENTE SUR","AVENIDA","TERCERA SUR ORIENTE","AVENIDA","SEGUNDA SUR ORIENTE","129",,,,,,"BARRIO","CHULHA",,,,"29930","07","CHIAPAS","109","Yajalón","0001","Yajalón","0107","013",,,,"Fijo","17.16918466","-92.3305969","2010-07"
"483792","VENTA DE MATERIAL DE APICULTURA Y MIEL",,"461190","Comercio al por menor de otros alimentos","0 a 5 personas","CALLE","SÉPTIMA ORIENTE NORTE","CALLE","BENITO JUÁREZ","CALLE","NINGUNO","CALLE","SÉPTIMA ORIENTE NORTE",,"SN",,,,,"BARRIO","LOMA BONITA",,,,"29930","07","CHIAPAS","109","Yajalón","0001","Yajalón","0075","023",,,,"Fijo","17.17153127","-92.32555005","2010-07"
"1133853","PRODUCTOS DE APICULTURA PRODAPI",,"461190","Comercio al por menor de otros alimentos","0 a 5 personas","CALLE","IZTACCÍHUATL","CALLE","SORIA","CALLE","TARRAGONA","CALLE","BRONCE","610",,,,,,"COLONIA","PILETAS",,,,"37310","11","GUANAJUATO","020","León","0001","León de los Aldama","0266","021","4773475650",,,"Fijo","21.1392722","-101.70420086","2010-07"
"1483182","TIENDA DE RECUERDOS Y APICULTURA",,"461190","Comercio al por menor de otros alimentos","0 a 5 personas","CALLE","NIÑOS HÉROES","CALLE","NICOLÁS BRAVO","CALLE","VICENTE GUERRERO","CALLE","5 DE FEBRERO","4",,,,,"SN","COLONIA","CENTRO",,,,"41700","12","GUERRERO","046","Ometepec","0001","Ometepec","038A","024",,,,"Fijo","16.68724707","-98.40451449","2010-07"
"2241440","APICULTURA MIGRATORIA Y SUS DERIVADOS SIN NOMBRE",,"461190","Comercio al por menor de otros alimentos","0 a 5 personas","CALLE","NINGUNO","AVENIDA","FERROCARRILES PONIENTE","CALLE","HÉROE DE NACOZARI","AVENIDA","FERROCARRILES PONIENTE","9",,,,,,"BARRIO","TECOAC",,,,"54800","15","MÉXICO                      ","024","Cuautitlán","0001","Cuautitlán","0028","056","5558702726",,,"Semifijo","19.67663302","-99.18335334","2014-12"
"2221709","APICULTURA PRODUCCIÓN Y VENTA DE DERIVADOS DE LA MIEL SIN NOMBRE",,"461190","Comercio al por menor de otros alimentos","0 a 5 personas","CALLE","NINGUNO","CALLE","BOSQUES DE BOLOGNIA 5","CALLE","BOSQUES DE BOLOGNIA 8","CALLE","BOSQUES DE BOLOGNIA 6","1",,,,,,"FRACCIONAMIENTO","BOSQUES DEL LAGO",,,,"54766","15","MÉXICO                      ","121","Cuautitlán Izcalli","0001","Cuautitlán Izcalli","1710","021","5558779687","G_VANDERPLAS@HOTMAIL.COM",,"Fijo","19.61792315","-99.24476567","2014-12"
"2662733","APICULTURA POLINIZACION DE MIEL ANDAMIEL",,"311999","Elaboración de otros alimentos","0 a 5 personas","CALLE","GILDARDO MAGAÑA","CALLE","LÁZARO CÁRDENAS","CALLE","REFORMA AGRARIA","CALLE","NINGUNO","9",,,,,,"COLONIA","EMILIANO ZAPATA",,,,"60180","16","MICHOACÁN DE OCAMPO       ","102","Uruapan","0001","Uruapan","0406","025",,,,"Fijo","19.39029686","-102.05667434","2014-12"
"2647051","APICULTURA OFICINA MARMIEL",,"561110","Servicios de administración de negocios","0 a 5 personas","CALLE","PRIVADA PROLONGACIÓN NICOLÁS ROMERO","CALLE","ÚLTIMA DE NICOLÁS ROMERO","PRIVADA","GARDENIA","CALLE","NICOLÁS ROMERO","20",,,,,,"COLONIA","LINDAVISTA",,,,"60020","16","MICHOACÁN DE OCAMPO       ","102","Uruapan","0001","Uruapan","0444","020",,,,"Fijo","19.43283016","-102.05662512","2014-12"
"3108367","PRODUCTOS DE APICULTURA LA COLMENA",,"461190","Comercio al por menor de otros alimentos","0 a 5 personas","PRIVADA","NINGUNO","CALLE","MIRADOR","BOULEVARD","INGENIERO FRANCISCO FERNÁNDEZ ARTEAGA",,"NINGUNO",,"SN",,"PRIMER PISO",,,"COLONIA","CENTRO","MERCADO PÚBLICO","MERCADO CENTRAL","SN","68300","20","OAXACA","184","San Juan Bautista Tuxtepec","0001","San Juan Bautista Tuxtepec","0056","039",,,,"Fijo","18.08076628","-96.12219291","2014-12"
