"ID","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"13958","MATERIAL APÍCOLA APIMAT",,"333243","Fabricación de maquinaria y equipo para la industria alimentaria y de las bebidas","0 a 5 personas","CALLE","MANUEL FELGUÉREZ","CALLE","REMEDIOS VARO","CALLE","ENRIQUE GUZMÁN","CALLE","HERMENEGILDO BUSTOS","0","SN",,,,,"FRACCIONAMIENTO","PINTORES MEXICANOS",,,,"20179","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes                                                                                                ","3115","012",,,,"Fijo","21.92212125","-102.26119803","2010-07"
"12861","PRODUCTOS APICOLAS",,"461190","Comercio al por menor de otros alimentos","0 a 5 personas","AVENIDA","DE LAS PALMAS","CALLE","NINGUNO","CALLE","ANTONIO NAVA CASTILLO","CALLE","CARITINO MALDONADO","1002",,,,,,"FRACCIONAMIENTO","JESUS TERAN",,,,"20260","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes                                                                                                ","091A","026","4499706316",,,"Fijo","21.86990428","-102.2751821","2010-07"
"193036","CENTRO DE ACOPIO APICOLA TECNIFICADOS DE DZITBALCHE","SOCIEDAD DE PRODUCCIÓN RURAL, A.C.","461190","Comercio al por menor de otros alimentos","0 a 5 personas","CALLE","15","CALLE","22","CALLE","20","CALLE","17","0","SN",,,,,"COLONIA","LA ALAMEDA",,,,"24920","04","CAMPECHE","001","Calkiní","0007","Dzitbalché                                                                                                    ","0186","003","9964310158",,,"Fijo","20.31302911","-90.0573415","2010-07"
"402502","BODEGA DE MIEL DE ABEJA INDUSTRIA APICOLA VIVES DE COMITAN",,"311999","Elaboración de otros alimentos","0 a 5 personas","CALLE","CARRETERA A PETALCINGO","CALLE","CUARTA PONIENTE NORTE","CALLE","12 DE DICIEMBRE","AVENIDA","CUARTA NORTE PONIENTE","0","SN",,,,,"BARRIO","JONUTA",,,,"29930","07","CHIAPAS","109","Yajalón","0001","Yajalón                                                                                                       ","0060","005","9191106914",,,"Fijo","17.1787599","-92.3362001","2014-12"
"355570","INDUSTRIAL APÍCOLA VIVES",,"311999","Elaboración de otros alimentos","6 a 10 personas","BOULEVARD","BELISARIO DOMÍNGUEZ","CALLE","TERCERA SUR PONIENTE","CALLE","CUARTA SUR PONIENTE","AVENIDA","SEXTA PONIENTE SUR","62",,,,,,"BARRIO","CRISTÓBAL COLÓN",,,,"30068","07","CHIAPAS","019","Comitán de Domínguez","0001","Comitán de Domínguez                                                                                          ","0269","046","9636320240","MIELSUR@HOTMAIL.COM",,"Fijo","16.24503659","-92.13936965","2010-07"
"479893","LA COLMENA IMPLEMENTOS Y PRODUCTOS APICOLAS, S.A. DE C.V.","LA COLMENA IMPLEMENTOS Y PRODUCTOS APICOLAS, S.A. DE C.V.","311999","Elaboración de otros alimentos","0 a 5 personas","CALLE","CUARTA PONIENTE SUR","AVENIDA","CUARTA SUR PONIENTE","AVENIDA","3A SUR PONIENTE","CALLE","TERCERA PONIENTE SUR","0","SN",,,,,"BARRIO","SAN ANTONIO",,,,"29140","07","CHIAPAS","061","Ocozocoautla de Espinosa","0001","Ocozocoautla de Espinosa                                                                                      ","0296","017","9686880828",,,"Fijo","16.75827003","-93.37679336","2010-07"
"404404","COMERCIALIZACIÓN DE MATERIAL APÍCOLA",,"435110","Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca","0 a 5 personas","AVENIDA","SEGUNDA SUR ORIENTE","AVENIDA","AZUCENA","AVENIDA","2DA.SUR ORIENTE","AVENIDA","AZUCENA","0","SN",,,,"SN","BARRIO","AEROPUERTO","MERCADO PÚBLICO","ETNIA TZELTAL","SN","29950","07","CHIAPAS","059","Ocosingo","0001","Ocosingo                                                                                                      ","1756","045",,,,"Fijo","16.90914641","-92.09020048","2014-12"
"381271","EMPRESA INDUSTRIAL APICOLA VIVES, S.A. DE C.V.",,"431194","Comercio al por mayor de miel","0 a 5 personas","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","0","SN",,,,,"BARRIO","SAN FERNANDO",,,,"29820","07","CHIAPAS","081","Simojovel","0001","Simojovel de Allende                                                                                          ","0087","001",,,,"Fijo","17.13574591","-92.7032822","2014-12"
"428536","PRODUCTOS APICOLA SOLIS",,"431194","Comercio al por mayor de miel","0 a 5 personas","CALLE","UNDÉCIMA PONIENTE NORTE","AVENIDA","PRIMERA NORTE PONIENTE","AVENIDA","CENTRAL PONIENTE","CALLE","DUODÉCIMA PONIENTE NORTE","0","SN",,,,,"COLONIA","JESUS MARIA GARZA",,,,"30493","07","CHIAPAS","108","Villaflores","0120","Jesús María Garza                                                                                             ","0487","003",,,,"Fijo","16.39983762","-93.29880606","2014-12"
"432667","PRODUCTOS APICOLAS SIN NOMBRE",,"431199","Comercio al por mayor de otros alimentos","0 a 5 personas","AVENIDA","SEGUNDA NORTE ORIENTE","CALLE","SEGUNDA ORIENTE NORTE","CALLE","TERCERA ORIENTE NORTE","AVENIDA","SEGUNDA NORTE ORIENTE","0","SN",,,,,"BARRIO","EMILIANO ZAPATA",,,,"30370","07","CHIAPAS","008","Angel Albino Corzo","0001","Jaltenango de la Paz (Angel Albino Corzo)                                                                     ","0180","007",,,,"Fijo","15.87188627","-92.72108553","2014-12"
