num,id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta,x0
1,4425685,TIENDA NATURISTA LA GOTITA DE MIEL,NA,464113,"Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,AVENIDA,2 PONIENTE,CALLE,2 NORTE,CALLE,4 NORTE,CALLE,1 ORIENTE,425,NA,NA,NA,1,NA,COLONIA,CENTRO,NA,NA,NA,94100,30,VERACRUZ DE IGNACIO DE LA LLAVE,71,Huatusco,1,Huatusco de Chicuellar,107,30,NA,NA,NA,Fijo,19.15134146,-96.96551494,2014-12,Venta de Miel
2,4566228,COMPRA VENTA DE MIEL SIN NOMBRE,NA,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,16,CALLE,16,CALLE,15-A,CALLE,18,0,SN,NA,NA,NA,NA,COLONIA,MIRAFLORES,NA,NA,NA,97770,31,YUCATÁN,19,Chemax,1,Chemax,188,24,NA,NA,NA,Fijo,20.65937028,-87.93270023,2014-12,Venta de Miel
3,1105629,VENTA DE MIEL DE ABEJA 100%PURA,NA,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,CUAUHTÉMOC,AVENIDA,DURANGO,AVENIDA,ORTIZ DE ZÁRATE,CALLE,PLAZA LERDO,620,NA,NA,NA,NA,NA,COLONIA,INFONAVIT 1,NA,NA,NA,35150,10,DURANGO,12,Lerdo,1,Lerdo,1592,5,NA,NA,NA,Fijo,25.53581911,-103.5317397,2014-12,Venta de Miel
4,6470157,BODEGA DE IMPLEMENTOS AGRICOLAS DE AGUASCALIENTES (ALMACÉN DE MIEL),NA,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,JADE,CALLE,ÓPALO,CALLE,AGUA MARINA,CALLE,0NIX,0,SN,NA,NA,NA,NA,OTRO (ESPECIFICAR),NORIAS DE OJOCALIENTE,NA,NA,NA,20367,1,AGUASCALIENTES,1,Aguascalientes,293,Norias de Ojocaliente,3929,34,4499151700,NA,NA,Fijo,21.88864843,-102.2232807,2016-01,Venta de Miel
5,3245138,PUESTO DE MIEL SIN NOMBRE,NA,461190,Comercio al por menor de otros alimentos,0 a 5 personas,CALLE,NINGUNO,ANDADOR,ORIENTE,ANDADOR,ORIENTE,CALLE,ORIENTE,0,SN,NA,NA,NA,SN,COLONIA,CENTRO,CENTRAL DE ABASTO,SIN NOMBRE,SN,68000,20,OAXACA,67,Oaxaca de Juárez,1,Oaxaca de Juárez,1486,45,NA,NA,NA,Semifijo,17.05996722,-96.73338561,2010-07,Venta de Miel
6,6290705,MIEL Y CERA DE CAMPECHE,MIEL Y CERA DE CAMPECHE SPR DE RL,311999,Elaboración de otros alimentos,0 a 5 personas,NA,NINGUNO,NA,NINGUNO,NA,NINGUNO,NA,NINGUNO,NA,SN,NA,NA,NA,NA,COLONIA,NINGUNO,NA,NA,NA,24615,4,CAMPECHE,6,Hopelchén,48,Ukum,695,9,NA,NA,NA,Fijo,19.24332203,-89.33620996,2012-06,Venta de Miel
7,4454742,TIENDA NATURISTA LA GOTITA DE MIEL,NA,464113,"Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,AVENIDA,CALZADA JUAN PABLO II,BOULEVARD,ADOLFO RUIZ CORTINES,AVENIDA,DE LAS PALMERAS,CALLE,VIVERO,1,NA,NA,NA,22,A,FRACCIONAMIENTO,JARDINES DE VIRGINIA,CENTRO O PLAZA COMERCIAL,PLAZA MOCAMBO,"A 22, 23",94294,30,VERACRUZ DE IGNACIO DE LA LLAVE,28,Boca del Río,37,Veracruz,642,31,12299217057,NA,NA,Fijo,19.15955455,-96.11148192,2010-07,Venta de Miel
8,1737870,VENTA DE QUESO CAJETA MIEL MERMELADA LECHERA Y AGUA. EL VIEJILLO,NA,461150,"Comercio al por menor de leche, otros productos lácteos y embutidos",0 a 5 personas,CERRADA,MEXTICACÁN,CERRADA,AUTLÁN,CALLE,TEPATITLÁN,CALLE,NINGUNO,0,SN,NA,NA,102,H,COLONIA,FOVISSSTE,NA,NA,NA,44990,14,JALISCO,98,San Pedro Tlaquepaque,1,Tlaquepaque,2470,21,NA,NA,NA,Fijo,20.60460801,-103.352711,2014-12,Venta de Miel
9,971700,MIEL TEPEPAN,NA,464113,"Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,CALLE,MIGUEL HIDALGO,CALLE,CERRADA 5 DE MAYO,CALLE,CALLEJÓN MIGUEL HIDALGO,CALLE,MARIANO ABASOLO,0,SN,NA,NA,NA,NA,PUEBLO,SANTA MARIA TEPEPAN,NA,NA,NA,16020,9,CIUDAD DE MÉXICO,13,Xochimilco,1,Xochimilco,67,1,5556763548,NA,NA,Fijo,19.27315107,-99.13553151,2010-07,Venta de Miel
10,3834358,MIEL TEACAPAN,NA,311999,Elaboración de otros alimentos,0 a 5 personas,CALLE,MARIANO MATAMOROS,CALLE,NIÑOS HÉROES DE CHAPULTEPEC,CALLE,AGUSTINA RAMÍREZ,CALLE,INDEPENDENCIA,0,SN,NA,NA,NA,NA,MANZANA,NINGUNO,NA,NA,NA,82560,25,SINALOA,9,Escuinapa,60,Teacapán,650,16,NA,NA,NA,Fijo,22.54075931,-105.737449,2014-12,Venta de Miel
