YEAR,MES,SE32403
1993,1,1834.8
1993,2,4281.3
1993,3,3848.6
1993,4,3815.4
1993,5,5230.5
1993,6,5111.2
1993,7,3226.3
1993,8,1257.9
1993,9,1041.6
1993,10,620.5
1993,11,1181.7
1993,12,2334.2
1994,1,1626.2
1994,2,2168.1
1994,3,3937.6
1994,4,2233.7
1994,5,3843.8
1994,6,4626.7
1994,7,3113.8
1994,8,778.7
1994,9,282.4
1994,10,661.7
1994,11,2020.6
1994,12,2615
1995,1,1333.7
1995,2,2002
1995,3,1596.6
1995,4,5171.4
1995,5,9264.4
1995,6,2975.6
1995,7,1070.1
1995,8,588.5
1995,9,655.3
1995,10,773.6
1995,11,2477.8
1995,12,2604.2
1996,1,1599
1996,2,4647.5
1996,3,4855
1996,4,5403.7
1996,5,12518.5
1996,6,7743.3
1996,7,1397.5
1996,8,1175.1
1996,9,450.9
1996,10,1357.7
1996,11,3779.3
1996,12,4215.4
1997,1,3034.2
1997,2,4847.7
1997,3,5342.9
1997,4,7454.8
1997,5,5833.4
1997,6,4141.7
1997,7,3463.8
1997,8,1376.5
1997,9,694.7
1997,10,889.3
1997,11,1775
1997,12,2247
1998,1,2939.7
1998,2,3401.6
1998,3,5243.5
1998,4,3080.9
1998,5,4329.4
1998,6,6551.2
1998,7,4508.5
1998,8,2405.2
1998,9,945.7
1998,10,1417.7
1998,11,3290.4
1998,12,3397.3
1999,1,1885.3
1999,2,3267.4
1999,3,3289.1
1999,4,2106.3
1999,5,4033.3
1999,6,4037.6
1999,7,2513.6
1999,8,1117.6
1999,9,511.8
1999,10,556.5
1999,11,916
1999,12,1042.9
2000,1,1696.4
2000,2,4578.5
2000,3,4456.3
2000,4,2473.5
2000,5,4424.7
2000,6,5099.3
2000,7,3992.7
2000,8,1837.2
2000,9,1058.1
2000,10,1070.7
2000,11,2145.7
2000,12,1882.4
2001,1,1573.4
2001,2,2291.2
2001,3,2863.3
2001,4,3766.7
2001,5,4491.7
2001,6,3151.3
2001,7,3067.2
2001,8,1174.9
2001,9,621.3
2001,10,1290.8
2001,11,2105.5
2001,12,1677
2002,1,2335.7
2002,2,4077.5
2002,3,4965
2002,4,6494.6
2002,5,9602
2002,6,8561.6
2002,7,7226.7
2002,8,2608.2
2002,9,1457.5
2002,10,5346.4
2002,11,6710.3
2002,12,3269.1
2003,1,2771.6
2003,2,4101.9
2003,3,5818.9
2003,4,9223.6
2003,5,10058.9
2003,6,10670.8
2003,7,7266.2
2003,8,3018.1
2003,9,1325.1
2003,10,3007.1
2003,11,4838.1
2003,12,5848.9
2004,1,4112.8
2004,2,3345.2
2004,3,8262.3
2004,4,6987.4
2004,5,9543.5
2004,6,11375.2
2004,7,4994.9
2004,8,2192
2004,9,1176.5
2004,10,1279.2
2004,11,1497.1
2004,12,2642.4
2005,1,1637.4
2005,2,2135.2
2005,3,1672.3
2005,4,2287.4
2005,5,5559.3
2005,6,6164.3
2005,7,3815.1
2005,8,2684.8
2005,9,1087.8
2005,10,1001.5
2005,11,2427.3
2005,12,1364
2006,1,1091.1
2006,2,2095.2
2006,3,4067
2006,4,4622.1
2006,5,8670.3
2006,6,7448.8
2006,7,5890
2006,8,4532.2
2006,9,1837.7
2006,10,2137.7
2006,11,3133
2006,12,2856.3
2007,1,1616
2007,2,1759.8
2007,3,4538.3
2007,4,6294.6
2007,5,8431.5
2007,6,10857.3
2007,7,7029
2007,8,5124.6
2007,9,2015
2007,10,1244.1
2007,11,3991.6
2007,12,3552.6
2008,1,2458.2
2008,2,3638.1
2008,3,7578.6
2008,4,14776
2008,5,15742.6
2008,6,14872.4
2008,7,8335.7
2008,8,4893.4
2008,9,1954.1
2008,10,1446.6
2008,11,3765.9
2008,12,4327.5
2009,1,3995
2009,2,3771
2009,3,4052
2009,4,6962
2009,5,13697
2009,6,14137
2009,7,9319
2009,8,5900
2009,9,4595
2009,10,3054
2009,11,3500
2009,12,8257
2010,1,5247
2010,2,3873
2010,3,4992
2010,4,7042
2010,5,10881
2010,6,16128
2010,7,15042
2010,8,7765
2010,9,4004
2010,10,2081
2010,11,3460
2010,12,4230
2011,1,2632
2011,2,2980
2011,3,6472
2011,4,13688
2011,5,15726
2011,6,14676
2011,7,12156
2011,8,7957
2011,9,4813
2011,10,2316
2011,11,1471
2011,12,5471
2012,1,4756
2012,2,4943
2012,3,9447
2012,4,13488
2012,5,17439
2012,6,14180
2012,7,11400
2012,8,7637
2012,9,4222
2012,10,2134
2012,11,5100
2012,12,6753
2013,1,4088
2013,2,5470
2013,3,8012
2013,4,11203
2013,5,18120
2013,6,21024
2013,7,14221
2013,8,5832
2013,9,4466
2013,10,2893
2013,11,6275
2013,12,10747
2014,1,8157
2014,2,6723
2014,3,13466
2014,4,16424
2014,5,25995
2014,6,26361
2014,7,18553
2014,8,8223
2014,9,5086
2014,10,4187
2014,11,4563
2014,12,9297
2015,1,6853
2015,2,8462
2015,3,8408
2015,4,18685
2015,5,28730
2015,6,26021
2015,7,24238
2015,8,15273
2015,9,8111
2015,10,4047
2015,11,1658
2015,12,5499
2016,1,3880
2016,2,2562
2016,3,1694
2016,4,4263
2016,5,12586
2016,6,16200
2016,7,13909
2016,8,10323
2016,9,7202
2016,10,6102
2016,11,7286
2016,12,7718
2017,1,9832
2017,2,6852
2017,3,8763
2017,4,4895
2017,5,12683
2017,6,20198
2017,7,16537
2017,8,9215
2017,9,5722
2017,10,4129
2017,11,1882
2017,12,4009
2018,1,5485
2018,2,6447
2018,3,6008
2018,4,13615
2018,5,17620
2018,6,21461
2018,7,18289
2018,8,11911
2018,9,8300
2018,10,3739
2018,11,3969
