yearc,Colmenas
1961,1985000
1962,2000000
1963,1300000
1964,1100000
1965,920934
1966,966980
1967,1015329
1968,1185581
1969,1580060
1970,1665700
1971,1618000
1972,1821000
1973,1876000
1974,1996000
1975,2037000
1976,2059012
1977,2080060
1978,2142300
1979,2254800
1980,2380600
1981,2532200
1982,2532200
1983,2690500
1984,2493400
1985,2384500
1986,2422729
1987,2119400
1988,2209339
1989,2330948
1990,2114489
1991,2088315
1992,2107618
1993,2293733
1994,2292428
1995,2053761
1996,1919938
1997,1715948
1998,1791111
1999,1944573
2000,1875731
2001,1862372
2002,1783854
2003,1727234
2004,1745078
2005,1732112
2006,1747033
2007,1741040
2008,1797478
2009,1774757
2010,1842130
2011,1847667
2012,1898239
2013,1933105
2014,1981162
2015,2017931
2016,1859350
2017,1853807
2018,2172107
