yearc,Colmenas
1961,1.985
1962,2.0
1963,1.3
1964,1.1
1965,0.920934
1966,0.96698
1967,1.015329
1968,1.185581
1969,1.58006
1970,1.6657
1971,1.618
1972,1.821
1973,1.876
1974,1.996
1975,2.037
1976,2.059012
1977,2.08006
1978,2.1423
1979,2.2548
1980,2.3806
1981,2.5322
1982,2.5322
1983,2.6905
1984,2.4934
1985,2.3845
1986,2.422729
1987,2.1194
1988,2.209339
1989,2.330948
1990,2.114489
1991,2.088315
1992,2.107618
1993,2.293733
1994,2.292428
1995,2.053761
1996,1.919938
1997,1.715948
1998,1.791111
1999,1.944573
2000,1.875731
2001,1.862372
2002,1.783854
2003,1.727234
2004,1.745078
2005,1.732112
2006,1.747033
2007,1.74104
2008,1.797478
2009,1.774757
2010,1.84213
2011,1.847667
2012,1.898239
2013,1.933105
2014,1.981162
2015,2.017931
2016,1.85935
2017,1.853807
2018,2.172107
