Entidad,CRIA_ABEJAS_REINA_PROGENITORAS_2017,CRIA_ABEJAS_REINA_PROGENITORAS_2018,CRIA_ABEJAS_REINA_PROGENITORAS_2019,ABEJAS_REINA_PRODUCIDAS_NO_CERTIFICADAS_2017,CRIA_ABEJAS_REINA_PROGENITORAS_2018Prod,CRIA_ABEJAS_REINA_PROGENITORAS_2019Prod
Aguascalientes,,,1,5000,,100
Baja California,,,,,,
Baja California Sur,,,,,,
Campeche,,,,1100,,
Coahuila,,,,7,,
Colima,,,,1000,,
Chiapas,,,,,,
Chihuahua,1,1,,3500,Conforme a demanda,
Ciudad de México,,,,120,,
Durango,,,,,,
Guanajuato,,,,,,
Guerrero,,,,6000,,
Hidalgo,,,,4500,,
Jalisco,,,,90000,,
Estado de México,,,,3500,,
Michoacán,,,,,,
Morelos,2,2,,5327,Conforme a demanda,
Nayarit,,,,,,
Nuevo León,,,,14400,,
Oaxaca,,,,3000,,
Puebla,,,,15000,,
Querétaro,,,,,,
Quintana Roo,,,,,,
San Luis Potosi,,,,2000,,
Sinaloa,,,,,,
Sonora,,,,,,
Tabasco,,,,450,,
Tamaulipas,,,,,,
Tlaxcala,,,,6,,
Veracruz,1,1,1,11500,Conforme a demanda,50
Yucatán,,,,,,
Zacatecas,,,,,,
