Entidad,PRODUCTORES_DE_NUCLEOS_PRODUCIDOS_2017,PRODUCTORES_DE_NUCLEOS_O_PAQUETES_DE_ABEJAS_2018,PRODUCTORES_DE_NUCLEOS_O_PAQUETES_DE_ABEJAS_2019,NUCLEOS_PRODUCIDOS_2017,PRODUCTORES_DE_NUCLEOS_O_PAQUETES_DE_ABEJAS_2018Prod,PRODUCTORES_DE_NUCLEOS_O_PAQUETES_DE_ABEJAS_Prod
Aguascalientes,4,,1,3000,,700
Baja California,,,,,,
Baja California Sur,,,,220,,
Campeche,10,15,6,4400,20800,7600
Coahuila,1,,2,157,,2000
Colima,1,,,1500,,
Chiapas,,,,,,
Chihuahua,8,4,,12000,4200,
Ciudad de México,,,,,,
Durango,2,1,2,1500,500,1500
Guanajuato,,,1,,,500
Guerrero,8,,,10000,,
Hidalgo,,,,,,
Jalisco,1,,,6000,,
Estado de México,1,1,,210,1000,
Michoacán,4,3,3,7500,7500,4500
Morelos,5,5,5,11989,3900,3900
Nayarit,1,,,1600,,
Nuevo León,,,,500,,
Oaxaca,4,1,,4000,1500,
Puebla,1,,,7500,,
Querétaro,,,,,,
Quintana Roo,,,1,,,630
San Luis Potosi,1,,,2000,,
Sinaloa,3,,,13500,,
Sonora,1,,1,1500,,1000
Tabasco,,,,,,
Tamaulipas,1,,,800,,
Tlaxcala,5,,,,,
Veracruz,2,,2,4000,,1800
Yucatán,,,,,,
Zacatecas,1,,,1300,,
