Nomestado,Nommunicipio,Volumen,Valor
Aguascalientes,Aguascalientes,245,11405
Aguascalientes,Asientos,43,2003
Aguascalientes,Calvillo,13,585
Aguascalientes,Cosío,22,1015
Aguascalientes,El Llano,82,3820
Aguascalientes,Jesús María,7,339
Aguascalientes,Pabellón de Arteaga,15,710
Aguascalientes,Rincón de Romos,9,397
Aguascalientes,San Francisco de Los Romo,42,1942
Aguascalientes,San José de Gracia,6,265
Aguascalientes,Tepezalá,13,625
Baja California,Ensenada,47,2228
Baja California,Tijuana,0,14
Baja California,Mexicali,52,2522
Baja California Sur,Comondú,11,522
Baja California Sur,Loreto,3,173
Baja California Sur,La Paz,31,1473
Baja California Sur,Los Cabos,165,7847
Campeche,Calakmul,725,25975
Campeche,Campeche,1364,48206
Campeche,Hopelchén,1940,68487
Campeche,Calakmul,158,6148
Campeche,Champotón,2198,78786
Campeche,Escárcega,155,6052
Campeche,Candelaria,132,5017
Campeche,Carmen,91,3427
Campeche,Escárcega,118,4458
Campeche,Palizada,62,2335
Campeche,Calkiní,475,18414
Campeche,Hecelchakán,421,16292
Campeche,Tenabo,388,14973
Chiapas,Chicomuselo,127,4971
Chiapas,Comitán de Domínguez,15,534
Chiapas,Frontera Comalapa,138,5233
Chiapas,La Independencia,85,2986
Chiapas,La Trinitaria,149,5293
Chiapas,Las Margaritas,129,4567
Chiapas,Socoltenango,29,1032
Chiapas,Tzimol,27,962
Chiapas,Amatenango de La Frontera,274,12342
Chiapas,Bella Vista,95,4282
Chiapas,Mazapa de Madero,363,16330
Chiapas,Motozintla,429,19180
Chiapas,Siltepec,115,5168
Chiapas,Chilón,78,3235
Chiapas,Ocosingo,145,6348
Chiapas,Palenque,7,261
Chiapas,Sabanilla,30,1244
Chiapas,Salto de Agua,61,2368
Chiapas,Sitalá,46,1908
Chiapas,Tila,311,12892
Chiapas,Tumbalá,178,7400
Chiapas,Yajalón,53,2169
Chiapas,El Bosque,95,3845
Chiapas,Huitiupán,47,1926
Chiapas,Ixhuatán,1,24
Chiapas,Jitotol,31,1246
Chiapas,Pantepec,1,21
Chiapas,Pueblo Nuevo Solistahuacán,15,604
Chiapas,San Andrés Duraznal,16,638
Chiapas,Simojovel,67,2725
Chiapas,Tapilula,21,819
Chiapas,Altamirano,90,3779
Chiapas,Chalchihuitán,90,3797
Chiapas,Chenalhó,55,2295
Chiapas,Larráinzar,21,843
Chiapas,Las Rosas,60,2442
Chiapas,Oxchuc,20,820
Chiapas,Pantelhó,165,6991
Chiapas,San Juan Cancuc,98,4095
Chiapas,Santiago El Pinar,4,180
Chiapas,Tenejapa,131,5562
Chiapas,Teopisca,10,405
Chiapas,Ocosingo,100,6554
Chiapas,Acacoyagua,7,261
Chiapas,Acapetahua,9,373
Chiapas,Cacahoatán,13,531
Chiapas,Escuintla,18,726
Chiapas,Frontera Hidalgo,14,555
Chiapas,Huehuetán,22,904
Chiapas,Huixtla,25,1018
Chiapas,Mapastepec,16,666
Chiapas,Mazatán,22,894
