Entidad,Número,Tipo
Aguascalientes,2,Asociaciones Apícolas
Baja California,2,Asociaciones Apícolas
Baja California Sur,2,Asociaciones Apícolas
Campeche,56,Asociaciones Apícolas
Coahuila,3,Asociaciones Apícolas
Colima,3,Asociaciones Apícolas
Chiapas,41,Asociaciones Apícolas
Chihuahua,10,Asociaciones Apícolas
Ciudad de México,4,Asociaciones Apícolas
Durango,0,Asociaciones Apícolas
Guanajuato,19,Asociaciones Apícolas
Guerrero,9,Asociaciones Apícolas
Hidalgo,43,Asociaciones Apícolas
Jalisco,26,Asociaciones Apícolas
Estado de México,19,Asociaciones Apícolas
Michoacán,12,Asociaciones Apícolas
Morelos,20,Asociaciones Apícolas
Nayarit,8,Asociaciones Apícolas
Nuevo León,3,Asociaciones Apícolas
Oaxaca,2,Asociaciones Apícolas
Puebla,23,Asociaciones Apícolas
Querétaro,4,Asociaciones Apícolas
Quintana Roo,11,Asociaciones Apícolas
San Luis Potosi,8,Asociaciones Apícolas
Sinaloa,6,Asociaciones Apícolas
Sonora,3,Asociaciones Apícolas
Tabasco,11,Asociaciones Apícolas
Tamaulipas,10,Asociaciones Apícolas
Tlaxcala,7,Asociaciones Apícolas
Veracruz,44,Asociaciones Apícolas
Yucatán,80,Asociaciones Apícolas
Zacatecas,17,Asociaciones Apícolas
Aguascalientes,4,Otras Organizaciones
Baja California,0,Otras Organizaciones
Baja California Sur,0,Otras Organizaciones
Campeche,0,Otras Organizaciones
Coahuila,0,Otras Organizaciones
Colima,0,Otras Organizaciones
Chiapas,24,Otras Organizaciones
Chihuahua,0,Otras Organizaciones
Ciudad de México,0,Otras Organizaciones
Durango,0,Otras Organizaciones
Guanajuato,0,Otras Organizaciones
Guerrero,17,Otras Organizaciones
Hidalgo,0,Otras Organizaciones
Jalisco,1,Otras Organizaciones
Estado de México,1,Otras Organizaciones
Michoacán,0,Otras Organizaciones
Morelos,0,Otras Organizaciones
Nayarit,0,Otras Organizaciones
Nuevo León,1,Otras Organizaciones
Oaxaca,30,Otras Organizaciones
Puebla,3,Otras Organizaciones
Querétaro,0,Otras Organizaciones
Quintana Roo,9,Otras Organizaciones
San Luis Potosi,3,Otras Organizaciones
Sinaloa,4,Otras Organizaciones
Sonora,0,Otras Organizaciones
Tabasco,0,Otras Organizaciones
Tamaulipas,0,Otras Organizaciones
Tlaxcala,5,Otras Organizaciones
Veracruz,0,Otras Organizaciones
Yucatán,0,Otras Organizaciones
Zacatecas,8,Otras Organizaciones
