"APITEC.  Publicación bimestral, editada por MVZ José Pedrón.","Cerro Tres Marías No. 354, Col. Campestre Churubusco, CP: 04200, México, DF.  Tel. (55) 5544-73-40 y (55) 5544-72-91"
Notiabeja. Publicación bimestral editada por: El Programa Nacional para el Control de la Abeja Africana,"Av. Municipio Libre No. 377, Col. Santa Cruz Atoyac, Alcaldía de Benito Juárez, C.P. 03310, Ciudad de México Tel. 38711000 Ext. 33929"
"Apicultura Moderna. Instituto de Investigación Apícola de México A.C.  Publicación Semestral, editada por Francisco J. Trujillo Flores","Apartado Postal 5-885, Guadalajara, Jalisco, CP 04500  Tel. (33) 3619-35-25"
Gaceta Apícola.  Publicación semestral. Editada por Enrique Estrada de la Mora.,"Paseo de los Burgos No. 385; Frac. Burgos, Cuernavaca, Morelos CP 62580  Tel. 52 (73) 26-02-69."
Cámara Nacional de la Industria de la Transformación. (CANACINTRA),"San Antonio No. 256; Col. Ampliación Nápoles, 03849, México, D.F.  Tel. 5563-3400, 5563-0501"
Confederación de Cámaras Industriales de los Estados Unidos Mexicanos (CONCAMIN),"Manuel Mª Contreras 133, piso 1 Col. Cuauhtémoc, C.P. 06500, México, D.F. Tel. 5566-7822, 5703-2591, 5703-2773. "
"Asociación de Apicultores de Jesús María, Ags.","Cadena No. 605 CP 20900,  Jesús María, Aguascalientes"
"Asociación de Apicultores de Arteaga, Coah.","Hidalgo Nte. No. 2378, Col. República Oriente, Saltillo, Coahuila"
Asociación de Apicultores de Torreón Coahuila,"Av. Sta. María No. 731 Ote.; Col. Moderna, Torreón, Coahuila"
Asociación de Apicultores de Colima,"Col. Doroteo López No. 525, Colima, Colima."
"Asociación de Apicultores de San Fernando, Chis.","1a Poniente s/n, San Fernando, Chiapas"
Asociación de Apicultores de Hidalgo del Parral,"km. 2 Carr. Parral-Durango, CP 33800, Hidalgo del Parral, Chihuahua"
"Asociación de Apicultores de Nuevo Casas Grandes, Chih.","Av. Benito Juárez Ezq. D. Alfaro Siqueiros, Col. Dublán, CP 31700, Nuevo Casas Grandes, Chihuahua"
"Asociación de Apicultores de Chihuahua, Chih.","Priv. de Trias No. 2009 CP 33270, Chihuahua, Chihuahua"
"Asociación de Apicultores de Cd. Delicias, Chihuahua","5 de Febrero No. 409 Col. Obrera, Cd. Delicias, Chihuahua"
"Asociación de Apicultores de Camargo, Chih.","Aldama No. 307 CP 33700, Cd. Camargo, Chihuahua"
Asociación de Apicultores de Xochimilco,"Bugambilia No. 6 Barrio Xaltocán, CP 16090 Xochimilco, D.F. México"
Asociación de Apicultores de la Laguna de Gómez Palacio,"Vía Apia No. 236 Frac. Villa Nápoles, Gómez Palacio, Durango"
"Asociación de Apicultores de Canatlán, Dgo.","Abasolo No. 403 Nte. CP 34400, Canatlán, Durango"
"Asociación de Apicultores de Nombre de Dios, Dgo.","Fray Jerónimo Mendoza No. 402 , Nombre de Dios, Durango"
"Asociación de Apicultores de Apaseo el Alto, Gto.","Calle 5 de Mayo s/n. Belem, Apaseo el Alto, Guanajuato"
"Asociación de Apicultores de León, Gto.","Ixtlacihuatl No. 610 Col. Piletas CP 37310, León, Guanajuato"
Asociación de Apicultores de Pénjamo,"5 de Mayo 3-C Zona Centro CP 36900, Pénjamo, Guanajuato"
"Asociación de Apicultores de San Miguel de Allende, Gto.","Calle Real No. 24 Santa María, San Miguel de Allende, Guanajuato,"
"Asociación de Apicultores de Acámbaro, Gto.","Calle Vicente Guerrero No. 47 Zona Centro CP 38600, Acámbaro, Guanajuato"
"Asociación de Apicultores de Acapulco, Gro.","Morelos No. 2 Col. Santa Cruz, Acapulco, Guerrero"
"Asociación de Apicultores de Tlaquepaque, Jal.","Venustiano Carranza No. 232, Zona Centro CP. 45500, Tlaquepaque, Jalisco"
"Asociación de Apicultores de Toluca, Mex.","Valentín Gómez Farías No. 706 Pte. CP 50080, Toluca, Edo. de México"
"Asociación de Apicultores de Chalco, Mex.","29 de Septiembre, No. 63 Barrio San Miguel, Ayotzingo, Chalco, Edo. de México"
Asociación de Apicultores de Ecatepec,"Dalias No. 67, Fracc. Icalli, Ecatepec, Edo. de México"
Asociación de Apicultores de Morelia,"Tlatelolco No. 43, Col. Gpe. CP 58140, Morelia, Michoacán"
Asociación de Apicultores de Purépero,"Álvaro Obregón No. 736 CP 58760, Purépero, Michoacán"
Asociación de Apicultores de Zinapécuaro,"Santa Cruz No. 36, Zinapécuaro, Michoacán"
Asociación de Apicultores de Tepic,"Manuel Lozada No. 282, Nte. Col. l. Mateos Tepic, Nayarit"
