Aguascalientes,Aguascalientes ,Apiarios del Centro
Aguascalientes,Aguascalientes ,Grupo Apiags
Baja California,Tijuana,Apiarios Daktary
Baja California,Tijuana,Apiarios Dorado
Baja California,Tijuana,Tropical Honey
Baja California Sur,La Paz,Rancho Cacachilas
Campeche,Calakmul,Sociedad de Apicultores de la Biosfera de Calakmul
Campeche,Calkiní,Sociedad de Solidaridad Social
Campeche,Campeche,Miel y Cera de Campeche Sociedad de Solidaridad Social
Campeche,Champotón,Apicultores de Champotón
Campeche,Escárcega,Compra de Miel de Abeja Mex
Campeche,Hopelchén,Productos de Miel y sus derivados Kabit
Campeche,Tenabo,Centro de Recepción de Miel y Cera de Tenabo
Chiapas,Chiapa de Corzo,Cooperativa Nueva Morelia/Piedra Huixtla
Chiapas,Chilón,Tsú Umbal Xitalha
Chiapas,Escuintla,Apícola Copalchi
Chiapas,Ocosingo,Productores Agropecuarios de la Selva Lacandona
Chiapas,Tapachula,Finca La Granja y Finca Las Chispas
Chihuahua,Cuauhtémoc,Integradora Apícola Chermi
Chihuahua,Cuauhtémoc,La colmena
Chihuahua,Delicias,Distribuidora Apícola de Chihuahua
Chihuahua,Jiménez,Agromiel
Chihuahua,Nuevo Casas Grandes,Apiarios Paquime
Coahuila de Zaragoza,Allende,Miel Tia Fina
Colima,Tecomán,Miel Santa Rosa
Distrito Federal,Tláhuac,Apiario Atotolco
Durango,Durango,Apícola Campo Verde
Guanajuato,Celaya,Cefppegac Varroasis
Guanajuato,León,Samuel Jiménez Cano
Guerrero,Atoyac de Álvarez,Sociedad Cooperativa de Atoyac de Álvarez
Hidalgo,El Arenal,Apiario Santa Rosa
Hidalgo,Villa de Tezontepec,Xochipitzahua
Jalisco,Guadalajara,La abejita feliz
Jalisco,Guadalajara,Miel Oro
Jalisco,Guadalajara,Abeja Reyna
Jalisco,Tlajomulco de Zúñiga,Sociedad Cooperativa Arámbula
México,Atlautla,Abejas alegres
México,Chimalhuacán,Abejin
México,Amanalco,Rancho La Colmena
México,Toluca,Saborimiel
Michoacán de Ocampo,Zinapécuaro,Apidea
Michoacán de Ocampo,Morelia,Miel Parrales
Michoacán de Ocampo,Zamora,Miel Zamich
Morelos,Yautepec,Pronara
Morelos,Cuernavaca,Súper Carlota
Morelos,Cuernavaca,Miel Mexicana Volcán Popocatepetl
Nayarit,Tepic,Apiarios Nayarit
Nuevo León,Allende,Apícola de Allende
Oaxaca,San Juan Bautista Tuxtepec,Apiservicios de la Cuenca del Papaloapan
Oaxaca,Oaxaca,Mielvita
Oaxaca,Putla de Oaxaca,Productores Orgánicos de Putla de Guerrero
Oaxaca,San Juan Bautista Tuxtepec,Sippe
Oaxaca,Ometepec Guerrero,Unión Regional de Ejidos de Producción y Comercialización Agropecuaria/ Mieles de Costa Chica (URECH)
Oaxaca,Santa Cruz Xoxocotlán,Pepemiel
Puebla,Acatzingo,Apícola Ramaso
Puebla,Puebla,Apibur
Querétaro,Querétaro,Apicultores 3a. Generación
Querétaro,Querétaro,EsMiel
Quintana Roo,Cancún,Kabi habin
Quintana Roo,Felipe Carrillo Puerto,La Flor de Tajonal
San Luis Potosí,San Luis Potosí,Miel Ima
Sinaloa,Culiacán,Apícola Margarita
Sinaloa,Mazatlán,Osako
Sonora,Hermosillo,Apícola Sonorense
Sonora,Álamos,Mieles de Alamos Jamm
Sonora,Hermosillo,Las mieles de Sonora
Tabasco,Balancán,Miel La Reina del Sur
Tamaulipas,Ciudad Victoria,Mieles Picazo
Tlaxcala,Papalotla de Xicohtencatl,Miel Arcoiris
Veracruz de Ignacio de la Llave,Orizaba,Dumach
Veracruz de Ignacio de la Llave,Xalapa,Grupo de Agricultores APINERI A.C. y Universidad Veracruzana
Veracruz de Ignacio de la Llave,Coatepec,Apiarios Bautista
Yucatán,Felipe Carrillo Puerto,Sociedad Cooperativa La Flor de Tajonal
Yucatán,Mérida,Apicultores Unidos de la Península
Yucatán,Mérida,Miel México
Yucatán,Oxkutzcab,Ecological Maya Products
Yucatán,Mérida,Tropical Honey
Yucatán,Ticul,Mieles del Mayab
Yucatán,Calakmul,Calakmiel
Yucatán,Valladolid,Productos Selectos del Sureste
Zacatecas,Benito Juárez,Unión de Apicultores del Edo. De Zacatecas
