País,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
TOTAL,26083.509,25017.689,23374.197,19025.658,25472.832,30912.207,29646.066,26984.327,26511.894,26887.935,32039.573,33457.823,39152.381,42160.935,29098.349,27722.885,55674.509,26901.026
Alemania,10992.776,10805.97,11500.46,9619.146,12975.738,16806.793,16827.312,16517.342,14217.832,14595.876,17264.163,17506.927,16739.041,20733.387,14163.534,11417.414,18847.395,13256.538
Angola,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0
Arabia Saudita,605.765,2114.172,1432.845,1445.68,3024.489,1741.699,2678.304,1788.675,1742.369,1728.959,1463.923,2299.476,4108.785,3555.936,642.059,2081.128,3596,690.4
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,43.2,539.1,0,0,0,3.6
Austria,0,21,0,0,0,0,0,0,20.06,20.06,167.74,188.33,0,48,0,43.05,0,0
Bahamas,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bélgica,1116.458,1000.223,1278.308,680.614,855.495,856.964,1367.192,832.882,1001.2,821.722,729.531,1746.308,5029.236,2673.081,2099.179,1202.92,1265.237,733.455
Belice,0,0,0,0.003,0,0.02,0.04,0,0,0,0.042,0.02,0.02,0,0,0,0,0
Bolivia,0,0,0,0,0,0.36,0,0,0,0,0,0.002,0,0,0,0,0,0
Brasil,0,0,0,0,0,0,0,0,0,0,48.313,0.049,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,63.72,0,0,0,0,0,0,0,0,0,0,0,45.704
Canadá,19.72,42,0,0,0,0.176,0,0.065,0,0,0.6,0,18.481,18,18,58.822,18.002,9.94
Chile,0,0,0,0,0,0,0,0.06,0.007,0,0,0,0,0,0.093,0.609,0.214,0
China,0,0,0,4.64,0.006,0.232,121.267,147.015,61.915,124.228,104.565,107.88,100.925,91.557,251.315,191.167,28.762,56.721
Colombia,0,9.9,0,0,0,0,1.4,0,0,0,0,0,4.76,110.874,120.04,48,144,48
Corea del Sur,0,0,0,0,0,0,0,0.112,0,0,0,0,0,0,0,0,0,0.349
Costa Rica,19.894,0.699,18.619,24.67,0.049,0.006,0,0,0,0,0,0,0,0,0,0,0,0.001
Cuba,0,0.15,0.128,0,0.018,0,0.006,0,0.163,0.2,0.451,0.001,0,0.002,0,0.027,0.048,0
Dinamarca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.4,231.795,188.4
El Salvador,0,0,0.136,4.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiratos Árabes Unidos,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,122.07,2.52
Eslovaquia,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0
España,19.5,0,156.431,85.651,43.813,21.09,231.201,109.852,46.36,96,337.257,42.6,392.315,810.938,386.123,629.553,306.012,1018.513
Estados Unidos,8466.3,7615.057,3672.693,1379.24,2634.554,3211.119,1485.643,1646.64,3232.098,2997.815,6273.071,5580.506,7277.721,5360.422,4715.299,5159.338,22961.925,3415.303
Federación Rusa,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0
Filipinas,20.06,38.895,43.716,40.89,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0
Francia,0,0.25,3.002,46.992,5.098,87.423,51.379,82.964,611.923,484.2,319.614,147.757,243.154,230.868,115.384,230.18,348.037,577.741
Guatemala,0,0,0,0,0.025,0,0,0,0,20,20.022,0,0.025,0,0,0,0,0
Honduras,3.123,3.144,0.852,0.974,2.931,1.308,1.662,2.76,0,0.946,0.592,0,0,0,0,0,0.034,0
Hong Kong,0,0,8.4,0,0,0,0,0,0,0,0.14,2.234,0.892,0.339,0.985,1.897,0.353,1.184
Hungría,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,9.145
Irlanda,0,0,0,0,0,21.09,0,0,0,0,0,0,0,0,0,0,0,0
Islas Vírgenes (EU),0,0,0,0,21.58,0,0,0,0,0,0,0,0,0,0,0,0,0
Islas Vírgenes (Reino Unido),0,126,0,0,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Italia,126.906,75.512,120.555,119.424,73.858,94.963,20.801,30.022,116.859,80.684,10.696,41.129,40.646,41.046,105.798,316.086,154.213,103.664
Japón,210.98,224.14,135.319,20.14,20.717,123.702,191.114,154.204,241.546,365.892,274.825,283.458,386.489,468.869,359.889,485.883,489.12,271.139
Líbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0
Marruecos,0,0,0,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noruega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,0,0
Nueva Zelanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,40.8
Países Bajos,100.626,63.406,322.785,41.539,260.979,298.674,95.2,0,0,36,41.76,156,377.003,282.6,755.51,291.718,632.575,638.134
Países no Identificados,0.026,0.318,1.298,0.855,2.315,1.771,1.463,0.015,0.732,1.23,1.557,1.285,1.223,1.144,1.196,0.733,0.495,0.595
Panamá,20.65,0,0,0,12.68,0,0,0,0.06,0,0,0,2.7,0,43.274,65.13,194.544,108
Perú,0.025,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polonia,0,0,0,0,0,0,0,0,41.7,63.385,0,0,0,22.905,0,0,86.4,21.6
Portugal,0,0,0,0,0,0,0.006,80.4,40.12,0,0,0,86,243.9,108,260.4,0,216
Puerto Rico,126.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reino Unido,2812.322,1906.636,3526.124,2943.481,3372.794,4892.554,4091.588,3428.258,2568.871,2672.092,3267.336,4365.045,3232.923,4430.805,3692.047,3254.854,4802.049,3794.673
República Árabe Siria,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0
República Checa,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,21.24,106.8,62.711,104.857
República Dominicana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0.084,0,0
Singapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0.54
Sudáfrica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Suecia,0,0,0,0,0,0,0,0,42.852,0,0,0,0,0,0,0,0,0
Suiza,1376.523,970.108,1092.366,2314.688,1957.393,2514.953,2412.888,2062.761,2225.653,2551.4,1663.815,905.728,966.542,2413.502,1487.106,1754.07,1336.988,1522.265
Tailandia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.24,21.24
Taiwán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.517,0
Ucrania,0,0,0,0,0,0,0,0,238.238,167.04,0,0,0,0,0,0,0,0
Venezuela,45.38,0.108,60.12,232.62,165.1,173.59,61.72,100.3,61.336,60.18,49.56,82.98,100.3,80.24,0,0.012,0.003,0.005
