anio,mes,pais_de_origen_destino,dolares
2015,Junio,Alemania,14419805
2015,Mayo,Alemania,13895406
2018,Junio,Alemania,11936361
2015,Julio,Alemania,11624405
2014,Mayo,Alemania,11333475
2018,Julio,Alemania,11099405
2012,Mayo,Alemania,11028110
2014,Junio,Alemania,10955744
2013,Junio,Alemania,10498151
2008,Mayo,Alemania,9966549
2016,Junio,Alemania,9517250
2013,Mayo,Alemania,9271238
2008,Junio,Alemania,9097412
2011,Mayo,Alemania,8983486
2010,Junio,Alemania,8629599
2013,Julio,Alemania,8502126
2008,Abril,Alemania,8231874
2010,Julio,Alemania,8227895
2014,Abril,Alemania,8103615
2017,Junio,Alemania,8083373
2015,Abril,Alemania,8060944
2009,Junio,Alemania,7627003
2012,Junio,Alemania,7448282
2016,Julio,Alemania,7443435
2011,Junio,Alemania,7360519
2015,Agosto,Alemania,7347327
2012,Abril,Alemania,7245693
2018,Mayo,Alemania,7163269
2011,Abril,Alemania,7064119
2009,Diciembre,Alemania,6913166
2018,Agosto,Alemania,6729646
2009,Mayo,Alemania,6676465
2018,Abril,Alemania,6655776
2014,Julio,Alemania,6654828
2011,Julio,Alemania,6522151
2012,Marzo,Alemania,6468713
2013,Marzo,Alemania,6265509
2017,Julio,Alemania,6109044
2009,Julio,Alemania,5890829
2017,Junio,Estados Unidos,5802598
2018,Septiembre,Alemania,5680958
2007,Junio,Alemania,5630808
2013,Diciembre,Alemania,5606797
2013,Abril,Alemania,5591248
2015,Mayo,Estados Unidos,5432327
2017,Enero,Estados Unidos,5337442
2014,Diciembre,Alemania,5306782
2003,Junio,Alemania,5221378
2004,Mayo,Alemania,5210696
2016,Mayo,Alemania,5198972
2017,Mayo,Estados Unidos,5193086
2012,Julio,Alemania,5141368
2003,Abril,Estados Unidos,5093288
2017,Mayo,Alemania,5033996
2004,Marzo,Alemania,5032693
2002,Octubre,Estados Unidos,4905764
2014,Mayo,Estados Unidos,4882209
2002,Junio,Alemania,4822055
2015,Febrero,Alemania,4818888
2016,Mayo,Estados Unidos,4669116
2006,Mayo,Alemania,4635829
2003,Diciembre,Alemania,4613292
2014,Junio,Estados Unidos,4534924
2011,Diciembre,Alemania,4489043
2016,Agosto,Alemania,4402637
2015,Enero,Alemania,4402226
2010,Agosto,Alemania,4346560
2012,Diciembre,Alemania,4346086
2014,Enero,Alemania,4328647
2017,Febrero,Estados Unidos,4298553
2010,Mayo,Alemania,4268165
2014,Agosto,Alemania,4167343
2016,Noviembre,Estados Unidos,4129109
2010,Enero,Alemania,4119398
2004,Abril,Alemania,4069164
2017,Marzo,Estados Unidos,4064284
2007,Mayo,Alemania,4044187
2014,Mayo,Arabia Saudita,4010232
2015,Junio,Estados Unidos,3953974
2009,Agosto,Alemania,3909279
2002,Julio,Alemania,3903224
2012,Enero,Alemania,3895871
2004,Junio,Alemania,3874666
2018,Febrero,Alemania,3858580
2011,Agosto,Alemania,3837845
2013,Diciembre,Estados Unidos,3824165
2018,Enero,Alemania,3797075
2016,Diciembre,Alemania,3754445
2014,Abril,Arabia Saudita,3739442
2008,Marzo,Alemania,3732196
2014,Junio,Bélgica,3679368
2015,Marzo,Alemania,3663643
2014,Julio,Bélgica,3613185
2013,Junio,Reino Unido,3588393
2015,Diciembre,Alemania,3575205
2014,Febrero,Alemania,3539452
2017,Agosto,Alemania,3536697
2012,Agosto,Estados Unidos,3526753
2007,Noviembre,Alemania,3481650
2015,Mayo,Arabia Saudita,3478172
2013,Febrero,Alemania,3451017
