anio,mes,operación,pais_de_origen_o_destino,umed,cantidad,dolares,pesos
2000,Febrero,Importación,Austria,ton,0.252,1695,16123
2000,Abril,Importación,Austria,ton,0.336,2250,20928
2000,Mayo,Importación,Austria,ton,0.336,2256,21190
2000,Agosto,Importación,Austria,ton,0.588,3966,36962
2000,Noviembre,Importación,Austria,ton,0.336,2273,21669
2000,Abril,Importación,Brasil,ton,0.2,1739,16212
2000,Septiembre,Importación,Brasil,ton,0.22,1774,16298
2000,Septiembre,Importación,Canadá,ton,0.324,2858,26937
2000,Enero,Importación,China,ton,0.37,3000,28339
2000,Marzo,Importación,China,ton,0.5,5756,53678
2000,Abril,Importación,China,ton,19.72,17255,160497
2000,Julio,Importación,China,ton,0.5,5135,51451
2000,Agosto,Importación,China,ton,0.3,3000,28006
2000,Octubre,Importación,China,ton,20.01,8504,80475
2000,Noviembre,Importación,China,ton,0.3,3000,28137
2000,Enero,Importación,Estados Unidos,ton,0.093,723,6846
2000,Febrero,Importación,Estados Unidos,ton,3.971,6569,61807
2000,Marzo,Importación,Estados Unidos,ton,0.253,4211,39270
2000,Abril,Importación,Estados Unidos,ton,0.412,1500,14135
2000,Mayo,Importación,Estados Unidos,ton,0.137,1920,18111
2000,Junio,Importación,Estados Unidos,ton,0.029,773,7486
2000,Julio,Importación,Estados Unidos,ton,0.013,146,1390
2000,Agosto,Importación,Estados Unidos,ton,0.047,1142,10661
2000,Septiembre,Importación,Estados Unidos,ton,0.052,815,7607
2000,Octubre,Importación,Estados Unidos,ton,0.599,3997,38187
2000,Noviembre,Importación,Estados Unidos,ton,0.427,1530,14590
2000,Diciembre,Importación,Estados Unidos,ton,3.374,13223,124950
2000,Mayo,Importación,Francia,ton,0.57,1885,17792
2000,Octubre,Importación,Francia,ton,0.57,1841,17144
2000,Marzo,Importación,Nueva Zelanda,ton,0.136,432,4003
2000,Abril,Importación,Nueva Zelanda,ton,0.163,518,4865
2000,Febrero,Importación,Suiza,ton,0.815,5924,55892
2000,Julio,Importación,Suiza,ton,0.815,5987,56348
2000,Agosto,Importación,Suiza,ton,0.815,6081,56924
2000,Diciembre,Importación,Suiza,ton,0.815,5357,50386
2001,Diciembre,Importación,Alemania,ton,0.011,51,473
2001,Marzo,Importación,Austria,ton,1.01,6417,62273
2001,Mayo,Importación,Austria,ton,0.83,4436,41761
2001,Octubre,Importación,Austria,ton,0.83,4379,40544
2001,Marzo,Importación,Brasil,ton,0.2,1774,17482
2001,Septiembre,Importación,Brasil,ton,0.2,1651,15058
2001,Febrero,Importación,China,ton,19.72,21396,207346
2001,Junio,Importación,China,ton,315.52,284668,2579961
2001,Julio,Importación,China,ton,276.08,249852,2256463
2001,Septiembre,Importación,China,ton,98.6,87754,815217
2001,Diciembre,Importación,China,ton,403.68,367697,3383502
2001,Septiembre,Importación,Cuba,ton,72.799,67339,614165
2001,Octubre,Importación,Cuba,ton,36.416,32225,297598
2001,Enero,Importación,Estados Unidos,ton,0.213,922,9031
2001,Febrero,Importación,Estados Unidos,ton,0.139,1440,13949
2001,Marzo,Importación,Estados Unidos,ton,0.031,367,3555
2001,Abril,Importación,Estados Unidos,ton,0.408,913,8601
2001,Mayo,Importación,Estados Unidos,ton,0.234,1250,11500
2001,Junio,Importación,Estados Unidos,ton,1.548,4618,41931
2001,Julio,Importación,Estados Unidos,ton,0.258,778,7196
2001,Agosto,Importación,Estados Unidos,ton,3.727,8358,76214
2001,Septiembre,Importación,Estados Unidos,ton,46.514,89073,836574
2001,Octubre,Importación,Estados Unidos,ton,21.607,50309,467660
2001,Noviembre,Importación,Estados Unidos,ton,12.86,24436,225486
2001,Diciembre,Importación,Estados Unidos,ton,31.965,60943,558632
2001,Febrero,Importación,Francia,ton,0.57,1838,18172
2001,Junio,Importación,Francia,ton,0.228,651,5971
2001,Julio,Importación,Francia,ton,0.57,1737,15687
2001,Noviembre,Importación,Francia,ton,0.357,944,8681
2001,Mayo,Importación,Suiza,ton,1.231,8366,77593
2001,Octubre,Importación,Suiza,ton,1.019,7394,70403
2002,Abril,Exportación,Alemania,ton,1881.902,2823449,25865185
2002,Mayo,Exportación,Alemania,ton,1678.305,2859483,27064680
2002,Junio,Exportación,Alemania,ton,2530.394,4822055,47012431
2002,Julio,Exportación,Alemania,ton,2062.453,3903224,38201127
2002,Agosto,Exportación,Alemania,ton,639.616,1184423,11696046
2002,Septiembre,Exportación,Alemania,ton,94.401,174986,1760497
2002,Octubre,Exportación,Alemania,ton,147.406,389599,3901654
2002,Noviembre,Exportación,Alemania,ton,1154.157,3377030,34458869
2002,Diciembre,Exportación,Alemania,ton,804.142,2063545,21058559
2002,Abril,Exportación,Arabia Saudita,ton,209.924,324735,3002480
2002,Mayo,Exportación,Arabia Saudita,ton,202.928,372289,3535999
