ce,entidad,ene-14,feb-14,mar-14,abr-14,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,ranking2014,ranking2015,ranking2016,ranking2017,ranking2018,aportacion2014,aportacion2015,aportacion2016,aportacion2017,aportacion2018,pronostico2014,pronostico2015,pronostico2016,pronostico2017,pronostico2018,total2014,total2015,total2016,total2017,total2018
1,AGUASCALIENTES,,,,,,,,,,,,551,,,,448,,,,,,168,,,,,,356,,,,,,307,,,,,,312,,,,,,255,85,,,,,255,25,19,20,18,,0.6,0.9,1,,,378,586,622,,,551,616,664,653,497
2,BAJA CALIFORNIA,,0,,,,,0,0,15,0,67,,,,,,,,,,11,4,68,4,,,,,0,4,4,1,13,0,65,,,,,,,4,3,3,16,15,16,23,,4,4,4,31,32,32,31,,0,0,0,,,90,95,89,,,84,87,89,81,100
3,BAJA CALIFORNIA SUR,,1,1,91,12,11,12,11,1,11,109,10,,,,81,10,9,10,10,9,9,107,10,,,,72,2,2,8,9,9,8,105,9,,,1,73,5,5,5,5,5,5,94,5,,,,78,27,29,27,26,,0,0,0,,,282,246,252,,,270,256,225,202,210
4,CAMPECHE,43,1143,1594,1418,2222,448,3,3,2,,,198,70,987,1355,2193,2680,440,,,,,3,7,29,560,643,1797,1887,654,,,,,,,10,349,429,1524,1063,336,58,,,,,,9,484,1129,1375,2,2,2,6,,11.6,13.2,12.9,,,7012,8474,8378,,,7074,7736,5571,3767,8226
5,COAHUILA,0,,22,22,25,45,24,24,23,46,,2,0,,25,25,29,49,28,28,29,50,,3,,,22,20,22,44,23,24,25,40,16,,,,17,21,21,21,18,6,23,17,0,47,,,0,43,29,28,28,27,,0,0,0,,,240,265,245,,,233,266,236,190,219
6,COLIMA,84,56,10,10,42,10,10,,,,28,197,54,56,10,10,42,10,10,,0,,14,202,76,48,10,11,44,14,12,13,,,22,196,77,51,14,11,46,15,14,14,,,23,198,79,54,14,11,23,23,23,22,,0.7,0.7,0.7,,,446,445,446,,,446,408,445,463,473
7,CHIAPAS,791,589,565,389,186,152,310,73,31,181,687,1163,779,577,437,197,654,187,64,25,111,225,691,1196,804,617,427,202,526,230,102,187,34,207,683,1194,823,596,465,285,548,470,25,22,51,199,719,1122,827,661,512,258,4,4,3,2,,8.4,8,8,,,5112,5169,5199,,,5117,5144,5213,5324,5474
8,CHIHUAHUA,,,,,90,63,,,4,238,285,,,,,,204,102,,,,167,110,,,,,,115,3,,,2,177,412,,,,,,105,0,1,3,22,232,72,3,,,,,17,17,18,23,,1.2,1,1.1,,,729,658,745,,,680,583,709,437,450
9,DISTRITO FEDERAL (CDMX),,,,8,9,2,1,1,6,23,24,4,,,,9,16,1,1,1,7,36,16,2,,,,9,12,2,1,0,7,39,20,5,,,,8,10,1,1,0,0,48,25,6,,,,10,32,31,31,30,,0,0,0,,,85,99,100,,,77,88,96,101,97
10,DURANGO,,,10,10,95,11,11,11,11,300,,,,,11,11,65,37,11,11,12,302,1,0,,,,11,99,11,11,11,11,320,2,,,,9,3,101,38,10,10,10,306,,,,,9,8,20,22,22,21,,0.8,0.7,0.7,,,462,475,479,,,459,462,476,487,471
11,GUANAJUATO,,,,129,48,11,3,,,141,23,55,,,,105,155,319,,,,115,48,60,,,,152,135,4,2,,,283,106,27,,,,141,130,4,,,,130,112,31,,,,48,19,24,19,19,,0.8,0.6,1.1,,,465,410,739,,,410,803,710,548,610
12,GUERRERO,185,174,261,61,31,5,5,3,8,134,356,724,206,187,212,91,95,3,6,14,8,184,348,726,212,300,165,78,57,6,9,4,6,156,413,649,252,282,291,68,10,4,4,5,3,109,450,622,261,347,236,73,9,9,10,9,,3.5,3.2,3.3,,,2124,2091,2137,,,1946,2079,2057,2101,1994
13,HIDALGO,,,,546,18,,,,,227,383,,,,,622,,,,,,208,489,,,,,515,329,,,,,187,102,,,,,552,,,,,,240,443,,,,436,586,15,13,15,13,,2,2,1.7,,,1191,1289,1126,,,1174,1320,1133,1235,1380
14,JALISCO,53,2,4,441,820,160,1,,0,184,2946,2464,77,2,4,935,331,72,47,,,,1314,2264,4,,,250,1125,59,0,,,,1574,1578,4,,1,398,1001,,,,,,1894,2516,4,,,1579,3,3,4,1,,10.8,8.6,7.6,,,6561,5542,4938,,,7076,5047,4590,5815,6001
15,MÉXICO,,,164,60,28,38,,,47,150,540,144,,,175,82,28,38,,,54,171,383,166,,,141,74,25,33,,,54,151,356,232,,,149,79,25,33,,,45,124,362,133,,,142,81,13,15,16,16,,2.1,2,1.7,,,1277,1264,1095,,,1172,1097,1067,952,983
16,MICHOACÁN,35,77,22,140,174,250,91,23,65,50,494,536,44,108,55,107,190,176,132,23,19,21,361,671,59,122,72,161,228,212,42,61,10,2,596,521,32,102,55,148,289,91,29,87,24,59,259,525,36,72,28,122,10,11,11,12,,3.3,3,3.2,,,1984,1946,2089,,,1957,1905,2085,1701,1809
17,MORELOS,,,,,553,,,,,,,1015,,,,,,,,,,,802,853,,,,,672,68,,,,,802,331,,,,,633,83,,,,,572,635,,,,,12,12,12,11,,2.4,2.9,2.6,,,1450,1848,1712,,,1568,1655,1873,1924,1946
18,NAYARIT,4,,,68,71,8,,,,,79,197,,,,65,58,6,,,,,91,137,,,2,17,53,59,13,,,12,58,163,,,12,37,46,39,,,,,63,141,,,,7,22,21,24,25,,0.7,0.8,0.6,,,449,483,410,,,427,358,377,339,435
