id,CVE_ENT,total2014,total2015,total2016,total2017,total2018
01,01,551,616,664,653,255
02,02,84,87,89,81,12
03,03,270,256,225,202,78
04,04,7074,7736,5571,3767,2996
05,05,233,266,236,190,43
06,06,446,408,445,463,159
07,07,5117,5144,5213,5324,2258
08,08,680,583,709,437,
09,09,77,88,96,101,10
10,10,459,462,476,487,16
11,11,410,803,710,548,48
12,12,1946,2079,2057,2101,917
13,13,1174,1320,1133,1235,1023
14,14,7076,5047,4590,5815,1584
15,15,1172,1097,1067,952,223
16,16,1957,1905,2085,1701,258
17,17,1568,1655,1873,1924,
18,18,427,358,377,339,7
19,19,257,97,99,167,150
20,20,3768,3826,4150,4078,1107
21,21,2369,2528,2194,2435,380
22,22,177,135,31,50,48
23,23,3351,3480,2885,3044,1592
24,24,897,1058,1085,1037,343
25,25,194,192,194,134,19
26,26,432,526,583,540,14
27,27,310,341,353,381,207
28,28,638,666,800,694,304
29,29,1219,1088,911,985,
30,30,4124,4754,4766,4704,1631
31,31,9654,11629,7490,4351,3256
32,32,1582,1654,1929,2078,448
