Agua,17.1 g 
Carbohidratos (totales)  ,82.4 g
Fructosa ,38.5 g  
Glucosa,31.0 g 
Maltosa ,7.20 g 
Sucrosa ,1.50 g 
Proteínas,0.50 g 
Energía    ,304 Kcal
Grasas (lípidos)      ,0.0 g 
Colesterol  ,0.0 g 
Vitaminas Tiamina   ,< 0.00 mg 
Riboflavina    ,< 0.06 mg 
Niacina   ,< 0.36 mg 
Ácido pantoténico    ,< 0.11 mg 
Piridoxina (B6)     ,< 0.32 mg 
Ácido ascórbico ,2.2 - 2.4 mg 
Calcio    ,4.4 - 9.20 mg
Cobre    ,0.003 - 0.10 mg
Fierro      ,0.06 - 1.5 mg 
Magnesio    ,1.2 - 3.50 mg
Manganeso   ,0.02 - 0.4 mg
Fósforo   ,1.9 - 6.30 mg 
Potasio  ,13.2 - 16.8 mg 
Sodio   ,0.0 - 7.6 mg
Zinc    ,0.03 - 0.4 mg
