Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2018,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,245.32,0,46.49,11404.927,0
2018,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,43.1,0,46.48,2003.288,0
2018,1,Aguascalientes,1,Aguascalientes,3,Calvillo,1,Abeja,7,Miel,12.596,0,46.46,585.21,0
2018,1,Aguascalientes,1,Aguascalientes,4,Cosío,1,Abeja,7,Miel,21.846,0,46.46,1014.965,0
2018,1,Aguascalientes,1,Aguascalientes,10,El Llano,1,Abeja,7,Miel,82.155,0,46.5,3820.208,0
2018,1,Aguascalientes,1,Aguascalientes,5,Jesús María,1,Abeja,7,Miel,7.294,0,46.44,338.733,0
2018,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,1,Abeja,7,Miel,15.284,0,46.46,710.095,0
2018,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,1,Abeja,7,Miel,8.544,0,46.44,396.783,0
2018,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,1,Abeja,7,Miel,41.772,0,46.48,1941.563,0
2018,1,Aguascalientes,1,Aguascalientes,8,San José de Gracia,1,Abeja,7,Miel,5.712,0,46.44,265.265,0
2018,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,1,Abeja,7,Miel,13.46,0,46.46,625.352,0
2018,2,Baja California,2,Ensenada,1,Ensenada,1,Abeja,7,Miel,47.173,0,47.23,2227.981,0
2018,2,Baja California,2,Ensenada,4,Tijuana,1,Abeja,7,Miel,0.277,0,50,13.85,0
2018,2,Baja California,3,Río Colorado,2,Mexicali,1,Abeja,2,Cera,1.102,0,41.58,45.816,0
2018,2,Baja California,3,Río Colorado,2,Mexicali,1,Abeja,7,Miel,52.155,0,48.35,2521.603,0
2018,3,Baja California Sur,5,Comondú,1,Comondú,1,Abeja,7,Miel,10.7,0,48.83,522.481,0
2018,3,Baja California Sur,5,Comondú,9,Loreto,1,Abeja,7,Miel,3.4,0,50.77,172.618,0
2018,3,Baja California Sur,6,La Paz,3,La Paz,1,Abeja,2,Cera,1.452,0,40.41,58.67,0
2018,3,Baja California Sur,6,La Paz,3,La Paz,1,Abeja,7,Miel,30.964,0,47.56,1472.648,0
2018,3,Baja California Sur,7,Los Cabos,8,Los Cabos,1,Abeja,2,Cera,7.925,0,62.53,495.575,0
2018,3,Baja California Sur,7,Los Cabos,8,Los Cabos,1,Abeja,7,Miel,165.3,0,47.47,7846.791,0
2018,4,Campeche,9,Campeche,10,Calakmul,1,Abeja,7,Miel,725.15,0,35.82,25974.873,0
2018,4,Campeche,9,Campeche,2,Campeche,1,Abeja,7,Miel,1363.672,0,35.35,48205.805,0
2018,4,Campeche,9,Campeche,6,Hopelchén,1,Abeja,7,Miel,1940.133,0,35.3,68486.695,0
2018,4,Campeche,10,Champotón,10,Calakmul,1,Abeja,2,Cera,5.16,0,74.2,382.872,0
2018,4,Campeche,10,Champotón,10,Calakmul,1,Abeja,7,Miel,157.61,0,39.01,6148.29,0
2018,4,Campeche,10,Champotón,4,Champotón,1,Abeja,2,Cera,73.536,0,70.03,5149.715,0
2018,4,Campeche,10,Champotón,4,Champotón,1,Abeja,7,Miel,2197.79,0,35.85,78786.394,0
2018,4,Campeche,10,Champotón,9,Escárcega,1,Abeja,2,Cera,4.824,0,75.1,362.282,0
2018,4,Campeche,10,Champotón,9,Escárcega,1,Abeja,7,Miel,154.6,0,39.14,6051.6,0
2018,4,Campeche,11,Escárcega,11,Candelaria,1,Abeja,7,Miel,132.31,0,37.92,5016.76,0
2018,4,Campeche,11,Escárcega,3,Carmen,1,Abeja,7,Miel,90.81,0,37.74,3427.2,0
2018,4,Campeche,11,Escárcega,9,Escárcega,1,Abeja,7,Miel,118.14,0,37.74,4458.3,0
2018,4,Campeche,11,Escárcega,7,Palizada,1,Abeja,7,Miel,62.39,0,37.43,2335.4,0
2018,4,Campeche,8,Hecelchakán,1,Calkiní,1,Abeja,7,Miel,474.595,0,38.8,18414.286,0
2018,4,Campeche,8,Hecelchakán,5,Hecelchakán,1,Abeja,7,Miel,421.412,0,38.66,16291.788,0
2018,4,Campeche,8,Hecelchakán,8,Tenabo,1,Abeja,7,Miel,387.502,0,38.64,14973.077,0
2018,7,Chiapas,20,Comitán,30,Chicomuselo,1,Abeja,2,Cera,6.96,0,51.5,358.44,0
2018,7,Chiapas,20,Comitán,30,Chicomuselo,1,Abeja,7,Miel,127.49,0,38.99,4970.88,0
2018,7,Chiapas,20,Comitán,19,Comitán de Domínguez,1,Abeja,2,Cera,1.14,0,75.89,86.515,0
2018,7,Chiapas,20,Comitán,19,Comitán de Domínguez,1,Abeja,7,Miel,14.87,0,35.91,533.95,0
2018,7,Chiapas,20,Comitán,34,Frontera Comalapa,1,Abeja,2,Cera,8.85,0,52,460.2,0
2018,7,Chiapas,20,Comitán,34,Frontera Comalapa,1,Abeja,7,Miel,137.79,0,37.98,5233.2,0
2018,7,Chiapas,20,Comitán,41,La Independencia,1,Abeja,2,Cera,3.11,0,55.63,173.01,0
2018,7,Chiapas,20,Comitán,41,La Independencia,1,Abeja,7,Miel,84.5,0,35.34,2986.4,0
2018,7,Chiapas,20,Comitán,99,La Trinitaria,1,Abeja,2,Cera,8.49,0,56.43,479.06,0
